year,projected_capacity_gw,lower_ci_gw,upper_ci_gw,is_forecast
2005,868.33,850.96,885.7,0
2006,893.71,875.84,911.58,0
2007,923.15,904.69,941.61,0
2008,958.09,938.93,977.25,0
2009,999.54,979.55,1019.53,0
2010,1049.25,1028.26,1070.24,0
2011,1109.81,1087.61,1132.01,0
2012,1183.86,1160.18,1207.54,0
2013,1275.22,1249.72,1300.72,0
2014,1389.22,1361.44,1417.0,0
2015,1532.38,1501.73,1563.03,0
2016,1714.26,1679.97,1748.55,0
2017,1946.75,1907.82,1985.68,0
2018,2245.68,2200.77,2290.59,0
2019,2631.49,2578.86,2684.12,0
2020,3135.7,3072.99,3198.41,0
2021,3787.95,3712.19,3863.71,0
2022,4630.98,4538.36,4723.6,0
2023,5521.45,5411.02,5631.88,0
2024,6330.85,6204.23,6457.47,0
2025,6862.64,6313.63,7411.65,1
2026,7424.69,6830.72,8018.67,1
2027,8017.57,7376.17,8658.98,1
2028,8641.79,7950.45,9333.13,1
2029,9297.79,8553.96,10041.61,1
2030,9985.93,9187.06,10784.81,1
2031,10706.54,9850.01,11563.06,1
2032,11459.82,10543.04,12376.61,1
2033,12245.95,11266.28,13225.63,1
2034,13065.01,12019.81,14110.21,1
2035,13917.0,12803.64,15030.36,1
