year,decade,policy_era
2000,2000s,Pre-Paris Agreement
2001,2000s,Pre-Paris Agreement
2002,2000s,Pre-Paris Agreement
2003,2000s,Pre-Paris Agreement
2004,2000s,Pre-Paris Agreement
2005,2000s,Pre-Paris Agreement
2006,2000s,Pre-Paris Agreement
2007,2000s,Pre-Paris Agreement
2008,2000s,Pre-Paris Agreement
2009,2000s,Pre-Paris Agreement
2010,2010s,Pre-Paris Agreement
2011,2010s,Pre-Paris Agreement
2012,2010s,Pre-Paris Agreement
2013,2010s,Pre-Paris Agreement
2014,2010s,Pre-Paris Agreement
2015,2010s,Paris Era
2016,2010s,Paris Era
2017,2010s,Paris Era
2018,2010s,Paris Era
2019,2010s,Paris Era
2020,2020s,Paris Era
2021,2020s,Paris Era
2022,2020s,Paris Era
2023,2020s,Paris Era
2024,2020s,Paris Era
2025,2020s,Post-2024 Accelerated Transition
2026,2020s,Post-2024 Accelerated Transition
2027,2020s,Post-2024 Accelerated Transition
2028,2020s,Post-2024 Accelerated Transition
2029,2020s,Post-2024 Accelerated Transition
2030,2030s,Post-2024 Accelerated Transition
2031,2030s,Post-2024 Accelerated Transition
2032,2030s,Post-2024 Accelerated Transition
2033,2030s,Post-2024 Accelerated Transition
2034,2030s,Post-2024 Accelerated Transition
2035,2030s,Post-2024 Accelerated Transition
2036,2030s,Post-2024 Accelerated Transition
2037,2030s,Post-2024 Accelerated Transition
2038,2030s,Post-2024 Accelerated Transition
2039,2030s,Post-2024 Accelerated Transition
