country_code,tech_id,year,generation_twh,capacity_gw,emissions_mtco2,lcoe_usd_per_mwh
USA,1,2005,3.28,1.78,0.148,350.0
USA,2,2005,43.05,15.36,0.474,120.0
USA,3,2005,0.0,0.0,0.0,180.0
USA,4,2005,492.0,117.01,11.808,55.0
USA,5,2005,820.0,105.18,9.84,90.0
USA,6,2005,1370.835,300.94,671.709,65.0
USA,7,2005,1370.835,269.81,1124.085,70.0
USA,1,2006,4.488,2.44,0.202,308.0
USA,2,2006,51.104,18.23,0.562,112.8
USA,3,2006,0.0,0.0,0.0,167.4
USA,4,2006,494.952,117.71,11.879,58.22
USA,5,2006,812.546,104.22,9.751,91.8
USA,6,2006,1463.601,321.3,717.164,68.22
USA,7,2006,1297.91,255.45,1064.286,73.22
USA,1,2007,6.14,3.34,0.276,271.04
USA,2,2007,60.664,21.64,0.667,106.03
USA,3,2007,0.0,0.0,0.0,155.68
USA,4,2007,497.922,118.42,11.95,59.93
USA,5,2007,804.973,103.25,9.66,93.6
USA,6,2007,1556.603,341.72,762.735,69.93
USA,7,2007,1223.045,240.72,1002.897,74.93
USA,1,2008,8.4,4.57,0.378,238.52
USA,2,2008,72.013,25.69,0.792,99.67
USA,3,2008,0.0,0.0,0.0,144.78
USA,4,2008,500.909,119.13,12.022,59.32
USA,5,2008,797.281,102.26,9.567,95.4
USA,6,2008,1649.428,362.1,808.22,69.32
USA,7,2008,1146.213,225.6,939.895,74.32
USA,1,2009,11.493,6.25,0.517,209.89
USA,2,2009,85.486,30.5,0.94,93.69
USA,3,2009,0.0,0.0,0.0,134.65
USA,4,2009,503.915,119.84,12.094,56.67
USA,5,2009,789.466,101.26,9.474,97.2
USA,6,2009,1741.536,382.32,853.353,66.67
USA,7,2009,1067.393,210.08,875.262,71.67
USA,1,2010,15.724,8.55,0.708,184.71
USA,2,2010,101.478,36.2,1.116,88.07
USA,3,2010,0.0,0.0,0.0,125.22
USA,4,2010,506.938,120.56,12.167,53.25
USA,5,2010,781.53,100.24,9.378,99.0
USA,6,2010,1832.23,402.23,897.793,63.25
USA,7,2010,986.585,194.18,809.0,68.25
USA,1,2011,21.513,11.69,0.968,162.54
USA,2,2011,120.463,42.97,1.325,82.78
USA,3,2011,0.0,0.0,0.0,116.46
USA,4,2011,509.98,121.29,12.24,50.64
USA,5,2011,773.469,99.21,9.282,100.8
USA,6,2011,1920.597,421.63,941.093,60.64
USA,7,2011,903.81,177.89,741.124,65.64
USA,1,2012,29.433,16.0,1.324,143.04
USA,2,2012,142.999,51.01,1.573,77.82
USA,3,2012,0.0,0.0,0.0,108.31
USA,4,2012,513.04,122.01,12.313,50.09
USA,5,2012,765.284,98.16,9.183,102.6
USA,6,2012,2005.448,440.25,982.67,60.09
USA,7,2012,819.127,161.22,671.684,65.09
USA,1,2013,40.269,21.89,1.812,125.87
USA,2,2013,169.751,60.56,1.867,73.15
USA,3,2013,0.0,0.0,0.0,100.72
USA,4,2013,516.118,122.74,12.387,51.84
USA,5,2013,756.973,97.09,9.084,104.4
USA,6,2013,2085.225,457.77,1021.76,61.84
USA,7,2013,732.647,144.2,600.771,66.84
USA,1,2014,55.094,29.95,2.479,110.77
USA,2,2014,201.508,71.88,2.217,68.76
USA,3,2014,0.0,0.0,0.0,93.67
USA,4,2014,519.215,123.48,12.461,55.08
USA,5,2014,748.534,96.01,8.982,106.2
USA,6,2014,2157.877,473.72,1057.36,65.08
USA,7,2014,644.561,126.86,528.54,70.08
USA,1,2015,75.378,40.98,3.392,97.48
USA,2,2015,239.207,85.33,2.631,64.63
USA,3,2015,0.0,0.0,0.0,87.12
USA,4,2015,522.33,124.22,12.536,58.28
USA,5,2015,739.967,94.91,8.88,108.0
USA,6,2015,2220.694,487.51,1088.14,68.28
USA,7,2015,555.174,109.27,455.243,73.28
USA,1,2016,103.129,56.06,4.641,85.78
USA,2,2016,283.957,101.3,3.124,60.76
USA,3,2016,0.0,0.0,0.0,81.02
USA,4,2016,525.464,124.97,12.611,59.94
USA,5,2016,731.271,93.8,8.775,109.8
USA,6,2016,2270.088,498.35,1112.343,69.94
USA,7,2016,464.958,91.51,381.266,74.94
USA,1,2017,141.097,76.7,6.349,75.48
USA,2,2017,337.08,120.25,3.708,57.11
USA,3,2017,0.0,0.0,0.0,75.35
USA,4,2017,528.617,125.72,12.687,59.27
USA,5,2017,722.443,92.66,8.669,111.6
USA,6,2017,2301.277,505.2,1127.626,69.27
USA,7,2017,374.626,73.73,307.193,74.27
USA,1,2018,193.043,104.94,8.687,66.43
USA,2,2018,400.141,142.74,4.402,53.68
USA,3,2018,0.0,0.0,0.0,74.0
USA,4,2018,531.788,126.47,12.763,56.6
USA,5,2018,713.483,91.51,8.562,113.4
USA,6,2018,2307.872,506.65,1130.857,66.6
USA,7,2018,285.243,56.14,233.899,71.6
USA,1,2019,264.113,143.57,11.885,58.46
USA,2,2019,474.999,169.45,5.225,50.46
USA,3,2019,0.0,0.0,0.0,74.0
USA,4,2019,534.979,127.23,12.839,53.17
USA,5,2019,704.389,90.35,8.453,115.2
USA,6,2019,2281.304,500.81,1117.839,63.17
USA,7,2019,198.374,39.04,162.667,68.17
USA,1,2020,361.349,196.43,16.261,51.44
USA,2,2020,563.862,201.15,6.202,47.44
USA,3,2020,0.0,0.0,0.0,74.0
USA,4,2020,538.189,127.99,12.917,50.6
USA,5,2020,695.161,89.16,8.342,117.0
USA,6,2020,2210.03,485.17,1082.915,60.6
USA,7,2020,116.317,22.89,95.38,65.6
USA,1,2021,494.384,268.75,22.247,45.27
USA,2,2021,669.35,238.78,7.363,44.59
USA,3,2021,0.0,0.0,0.0,74.0
USA,4,2021,541.418,128.76,12.994,50.1
USA,5,2021,685.796,87.96,8.23,118.8
USA,6,2021,2014.827,442.31,987.265,60.1
USA,7,2021,106.044,20.87,86.956,65.1
USA,1,2022,676.396,367.69,30.438,39.84
USA,2,2022,794.571,283.45,8.74,41.91
USA,3,2022,0.0,0.0,0.0,74.0
USA,4,2022,544.667,129.53,13.072,51.91
USA,5,2022,676.294,86.74,8.116,120.6
USA,6,2022,1754.612,385.19,859.76,61.91
USA,7,2022,92.348,18.18,75.725,66.91
USA,1,2023,925.418,503.05,41.644,36.0
USA,2,2023,943.22,336.48,10.375,39.4
USA,3,2023,0.0,0.0,0.0,74.0
USA,4,2023,547.935,130.31,13.15,55.17
USA,5,2023,666.654,85.51,8.0,122.4
USA,6,2023,1408.751,309.26,690.288,65.17
USA,7,2023,74.145,14.59,60.799,70.17
USA,1,2024,1148.38,624.26,51.677,36.0
USA,2,2024,1119.677,399.43,12.316,37.03
USA,3,2024,0.0,0.0,0.0,74.0
USA,4,2024,551.222,131.09,13.229,58.35
USA,5,2024,656.873,84.25,7.882,124.2
USA,6,2024,1061.498,233.03,520.134,68.35
USA,7,2024,55.868,11.0,45.812,73.35
CHN,1,2005,3.0,1.63,0.135,350.0
CHN,2,2005,26.25,9.36,0.289,120.0
CHN,3,2005,5.0,1.3,0.06,180.0
CHN,4,2005,300.0,71.35,7.2,55.0
CHN,5,2005,125.0,16.03,1.5,90.0
CHN,6,2005,408.15,89.6,199.994,65.0
CHN,7,2005,1632.6,321.33,1338.732,70.0
CHN,1,2006,4.276,2.32,0.192,308.0
CHN,2,2006,32.462,11.58,0.357,112.8
CHN,3,2006,6.55,1.7,0.079,167.4
CHN,4,2006,314.4,74.77,7.546,58.22
CHN,5,2006,131.0,16.8,1.572,91.8
CHN,6,2006,464.626,102.0,227.667,68.22
CHN,7,2006,1666.686,328.04,1366.683,73.22
CHN,1,2007,6.094,3.31,0.274,271.04
CHN,2,2007,40.144,14.32,0.442,106.03
CHN,3,2007,8.581,2.23,0.103,155.68
CHN,4,2007,329.491,78.36,7.908,59.93
CHN,5,2007,137.288,17.61,1.647,93.6
CHN,6,2007,524.902,115.23,257.202,69.93
CHN,7,2007,1699.26,334.45,1393.393,74.93
CHN,1,2008,8.686,4.72,0.391,238.52
CHN,2,2008,49.643,17.71,0.546,99.67
CHN,3,2008,11.24,2.92,0.135,144.78
CHN,4,2008,345.307,82.12,8.287,59.32
CHN,5,2008,143.878,18.45,1.727,95.4
CHN,6,2008,588.976,129.3,288.598,69.32
